serialNo,City,Brand,Model,Price/Unit,Quantity,Amount,Date,RAM,Internal Memory
96,Lucknow,Brand 3,Model 35,9999,1,9999,9/28/2020,Feature1_3,Feature2_2
2102,Kolkata,Brand 5,Model 291,1350,1,9700,9/28/2020,Feature1_1,Feature2_2
115,Delhi,Brand 7,Model 191,14500,1,14500,9/28/2020,Feature1_9,Feature2_2
54,Lucknow,Brand 1,Model 65,21499,1,21499,9/28/2020,Feature1_5,Feature2_3
116,Delhi,Brand 2,Model 8,7500,1,7500,9/28/2020,Feature1_8,Feature2_1
419,Kolkata,Brand 6,Model 19,16499,1,16499,9/28/2020,Feature1_9,Feature2_2
22,Delhi,Brand 2,Model 93,9490,1,9490,9/28/2020,Feature1_1,Feature2_1
2059,Delhi,Brand 10,Model 293,1200,1,1200,9/28/2020,Feature1_6,
340,Kolkata,Brand 8,Model 294,1650,1,1650,9/28/2020,Feature1_4,
213,Ahmedabad,Brand 10,Model 94,12990,1,12989.99,9/28/2020,Feature1_3,Feature2_2
2411,Delhi,Brand 5,Model 130,849,1,849,9/28/2020,Feature1_11,
117,Delhi,Brand 1,Model 295,8000,1,8000,9/28/2020,Feature1_8,Feature2_1
18,Delhi,Brand 1,Model 29,19000,1,19000,9/28/2020,Feature1_9,Feature2_2
6700532,Kolkata,Brand 8,Model 131,2199,1,2199,9/28/2020,Feature1_17,
6700533,Kolkata,Brand 1,Model 53,1500,1,1700,9/28/2020,Feature1_17,
10,Ludhiana,Brand 4,Model 95,8500,1,10490,9/28/2020,Feature1_1,Feature2_1
11,Ludhiana,Brand 3,Model 37,7500,1,7500,9/28/2020,Feature1_8,Feature2_1
127,Thiruvananthapuram,Brand 9,Model 132,1410,1,1410,9/29/2020,Feature1_6,
128,Thiruvananthapuram,Brand 6,Model 17,1039,1,1039,9/28/2020,Feature1_14,
118,Delhi,Brand 10,Model 94,10000,1,10000,9/29/2020,Feature1_3,Feature2_2
214,Ahmedabad,Brand 9,Model 296,6499,1,6499,9/29/2020,Feature1_8,Feature2_1
8,Chennai,Brand 4,Model 66,1750,1,1410,9/29/2020,Feature1_6,
14,Delhi,Brand 3,Model 40,1250,1,1140,9/29/2020,Feature1_4,
20,Delhi,Brand 10,Model 133,1200,1,1200,9/29/2020,Feature1_4,
21,Delhi,Brand 1,Model 31,1600,1,1600,9/28/2020,,
8,Chennai,Brand 2,Model 6,15500,1,15500,9/28/2020,Feature1_3,Feature2_3
55,Kolkata,Brand 9,Model 193,10000,1,10000,9/29/2020,Feature1_1,Feature2_1
20,Ludhiana,Brand 1,Model 297,750,1,750,9/29/2020,Feature1_4,
1156,Delhi,Brand 3,Model 9,900,1,900,9/29/2020,Feature1_4,
35,Delhi,Brand 1,Model 65,1200,1,1200,9/29/2020,,
8,Chennai,Brand 8,Model 96,1400,1,1400,9/29/2020,,
11,Chennai,Brand 3,Model 134,17000,1,43750,9/29/2020,Feature1_10,Feature2_4
23,Delhi,Brand 10,Model 97,5000,1,5000,9/29/2020,Feature1_10,Feature2_4
13,Chennai,Brand 6,Model 67,1750,1,1410,9/27/2020,Feature1_6,
41,Kolkata,Brand 8,Model 135,12800,1,12800,9/29/2020,Feature1_3,Feature2_3
114,Thiruvananthapuram,Brand 3,Model 134,2140,1,2140,9/29/2020,Feature1_18,
14,Lucknow,Brand 10,Model 299,950,1,14500,9/29/2020,Feature1_3,Feature2_2
15,Lucknow,Brand 1,Model 98,1800,1,1800,9/28/2020,Feature1_19,
5,Chennai,Brand 4,Model 136,6200,1,7499,9/29/2020,Feature1_1,Feature2_1
16,Lucknow,Brand 1,Model 115,10000,1,10000,9/27/2020,Feature1_8,Feature2_1
18,Lucknow,Brand 1,Model 68,14000,1,25990,9/29/2020,Feature1_3,Feature2_2
30,Delhi,Brand 1,Model 300,950,1,950,9/29/2020,Feature1_4,
34,Lucknow,Brand 5,Model 301,870,1,14500,9/29/2020,Feature1_3,Feature2_2
30,Kolkata,Brand 3,Model 45,1749,1,9700,9/29/2020,Feature1_1,Feature2_2
16,Lucknow,Brand 3,Model 550,850,1,14500,9/29/2020,Feature1_3,Feature2_2
21,Delhi,Brand 5,Model 302,1200,1,1200,9/29/2020,Feature1_6,
24,Delhi,Brand 1,Model 126,1280,1,1280,9/28/2020,Feature1_15,
48,Thiruvananthapuram,Brand 2,Model 69,1599,1,1599,9/29/2020,Feature1_16,
6700535,Kolkata,Brand 2,Model 8,1799,1,1799,9/29/2020,,
2412,Delhi,Brand 5,Model 137,12290,1,12290,9/29/2020,Feature1_3,Feature2_2
6700536,Kolkata,Brand 4,Model 55,1799,1,1799,9/29/2020,,
97,Lucknow,Brand 5,Model 195,27990,1,27990,9/29/2020,Feature1_5,Feature2_3
5,Delhi,Brand 1,Model 99,5999,1,7399,9/29/2020,Feature1_8,Feature2_4
7,Chennai,Brand 1,Model 303,14000,1,14000,9/28/2020,Feature1_9,Feature2_2
150,Delhi,Brand 1,Model 70,8000,1,8000,9/29/2020,Feature1_1,Feature2_1
151,Delhi,Brand 3,Model 196,8100,1,8100,9/29/2020,Feature1_8,Feature2_1
11,Chennai,Brand 1,Model 60,14990,1,14990,9/29/2020,Feature1_3,Feature2_2
12,Chennai,Brand 1,Model 197,20490,1,20490,9/29/2020,Feature1_5,Feature2_3
13,Chennai,Brand 7,Model 198,11990,1,11990,9/28/2020,Feature1_8,Feature2_1
14,Chennai,Brand 7,Model 199,20499,1,20499,9/28/2020,Feature1_9,Feature2_3
15,Chennai,Brand 1,Model 304,30999,1,30999,9/27/2020,Feature1_5,Feature2_3
205,Delhi,Brand 1,Model 305,1250,1,1250,9/29/2020,Feature1_20,
2,Delhi,Brand 2,Model 2,6200,1,6200,9/29/2020,Feature1_8,Feature2_1
1157,Delhi,Brand 9,Model 138,1400,1,1400,9/29/2020,Feature1_4,
120,Delhi,Brand 8,Model 96,9300,1,9300,9/29/2020,Feature1_1,Feature2_1
1159,Delhi,Brand 3,Model 200,8990,1,8990,9/29/2020,Feature1_1,Feature2_1
2061,Delhi,Brand 1,Model 100,950,1,940,9/29/2020,Feature1_4,
31,Hyderabad,Brand 3,Model 552,10800,1,8999,9/28/2020,Feature1_8,Feature2_1
32,Hyderabad,Brand 1,Model 32,1000,1,1000,9/29/2020,Feature1_4,
24,Delhi,Brand 5,Model 201,1210,1,1210,9/29/2020,,
19,Lucknow,Brand 7,Model 71,17500,1,13990,9/28/2020,Feature1_3,Feature2_2
20,Lucknow,Brand 3,Model 45,12500,1,12500,9/29/2020,Feature1_3,Feature2_2
1160,Delhi,Brand 2,Model 3,1250,1,1250,9/29/2020,,
48,Delhi,Brand 4,Model 4,2100,1,7007,9/29/2020,Feature1_10,Feature2_5
20,Lucknow,Brand 7,Model 139,950,1,14500,9/28/2020,Feature1_3,Feature2_2
21,Lucknow,Brand 9,Model 306,1650,1,1410,9/29/2020,Feature1_6,
2413,Delhi,Brand 4,Model 4,1400,3,4200,9/29/2020,Feature1_4,
1161,Delhi,Brand 1,Model 197,8499,1,8499,9/29/2020,Feature1_8,Feature2_1
441,Lucknow,Brand 1,Model 553,7999,1,7999,9/29/2020,Feature1_8,Feature2_1
42,Delhi,Brand 4,Model 307,9100,1,9100,9/29/2020,Feature1_8,Feature2_1
9,Chennai,Brand 1,Model 308,19499,1,18999,9/29/2020,Feature1_9,Feature2_2
10,Chennai,Brand 6,Model 58,10990,1,10990,9/28/2020,Feature1_3,Feature2_2
2062,Delhi,Brand 3,Model 309,1200,1,1200,9/29/2020,Feature1_6,
11,Chennai,Brand 4,Model 310,11990,1,11990,9/29/2020,Feature1_3,Feature2_2
59,Kolkata,Brand 2,Model 16,6900,1,6900,9/29/2020,Feature1_8,Feature2_1
54,Kolkata,Brand 9,Model 311,7200,1,7200,9/29/2020,Feature1_8,Feature2_1
215,Ahmedabad,Brand 8,Model 202,11490,1,11490,9/29/2020,Feature1_1,Feature2_2
8,Chennai,Brand 4,Model 182,1710,1,1710,9/29/2020,,
6700538,Kolkata,Brand 8,Model 288,12990,1,12990,9/29/2020,Feature1_3,Feature2_2
46,Delhi,Brand 3,Model 36,1080,1,1080,9/30/2020,,
47,Delhi,Brand 10,Model 312,1100,1,1099,9/29/2020,Feature1_21,
48,Delhi,Brand 4,Model 13,1050,1,943,9/28/2020,Feature1_4,
49,Delhi,Brand 2,Model 8,1250,1,1250,9/27/2020,Feature1_4,
2104,Kolkata,Brand 1,Model 32,6799,1,9700,9/30/2020,Feature1_1,Feature2_2
33,Thiruvananthapuram,Brand 4,Model 46,1410,1,1410,9/30/2020,Feature1_6,
34,Thiruvananthapuram,Brand 3,Model 9,2050,1,2050,9/29/2020,,
4,Delhi,Brand 6,Model 72,1450,1,1450,9/30/2020,,
5,Delhi,Brand 6,Model 313,1550,1,1550,9/29/2020,,
6,Delhi,Brand 10,Model 554,1550,1,1879,9/28/2020,,
35,Thiruvananthapuram,Brand 8,Model 203,2340,1,2340,9/28/2020,Feature1_18,
7,Delhi,Brand 1,Model 204,1450,1,1450,9/27/2020,Feature1_16,
34,Delhi,Brand 1,Model 315,7500,1,6999,9/30/2020,Feature1_8,Feature2_4
36,Delhi,Brand 4,Model 66,1350,1,1350,9/29/2020,,
19,Kolkata,Brand 4,Model 13,730,1,9700,9/30/2020,Feature1_1,Feature2_2
14,Delhi,Brand 3,Model 35,1150,1,1150,9/30/2020,,
16,Delhi,Brand 2,Model 6,1100,1,1099,9/28/2020,Feature1_22,
37,Kolkata,Brand 5,Model 206,800,1,800,9/30/2020,Feature1_11,
17,Delhi,Brand 5,Model 140,1150,1,1099,9/28/2020,Feature1_4,
31,Kanpur,Brand 3,Model 118,1800,1,1800,9/28/2020,Feature1_16,
19,Delhi,Brand 4,Model 4,3500,1,5999,9/28/2020,Feature1_8,Feature2_4
22,Kanpur,Brand 9,Model 317,1480,1,1480,9/27/2020,Feature1_16,
25,Kanpur,Brand 1,Model 304,1650,1,1650,9/30/2020,Feature1_4,
24,Delhi,Brand 5,Model 320,8990,1,8990,9/30/2020,Feature1_1,Feature2_1
26,Delhi,Brand 5,Model 321,1250,1,1250,9/30/2020,Feature1_16,
44,Delhi,Brand 6,Model 47,1200,1,1200,9/30/2020,Feature1_4,
47,Delhi,Brand 2,Model 555,1050,1,1050,9/30/2020,Feature1_4,
206,Delhi,Brand 4,Model 66,9990,1,9990,9/30/2020,Feature1_1,Feature2_1
12,Thiruvananthapuram,Brand 3,Model 141,1410,1,1410,9/29/2020,Feature1_6,
37,Lucknow,Brand 2,Model 7,1450,1,2089,9/30/2020,Feature1_4,
21,Lucknow,Brand 8,Model 207,1050,1,14500,9/30/2020,Feature1_3,Feature2_2
28,Delhi,Brand 5,Model 208,11999,1,11999,9/30/2020,Feature1_1,Feature2_1
24,Lucknow,Brand 2,Model 38,1250,1,1499,9/30/2020,Feature1_4,
37,Kanpur,Brand 8,Model 322,11470,1,11470,9/30/2020,Feature1_1,Feature2_2
25,Lucknow,Brand 1,Model 323,1250,1,1250,9/27/2020,Feature1_6,
26,Lucknow,Brand 9,Model 209,1400,1,14500,9/28/2020,Feature1_3,Feature2_2
43,Kolkata,Brand 9,Model 324,799,1,9700,9/29/2020,Feature1_1,Feature2_2
207,Delhi,Brand 3,Model 48,8990,1,8990,9/30/2020,Feature1_8,Feature2_1
45,Kolkata,Brand 5,Model 325,770,1,9700,9/29/2020,Feature1_1,Feature2_2
2105,Kolkata,Brand 5,Model 142,2300,1,9700,9/30/2020,Feature1_1,Feature2_2
27,Delhi,Brand 1,Model 556,12990,1,12989.99,9/30/2020,Feature1_3,Feature2_2
17,Kolkata,Brand 2,Model 7,13000,1,13000,9/27/2020,Feature1_3,Feature2_3
14,Thiruvananthapuram,Brand 4,Model 4,1499,1,1499,9/27/2020,Feature1_4,
412,Kolkata,Brand 9,Model 326,979,1,9700,9/30/2020,Feature1_1,Feature2_2
31,Kolkata,Brand 2,Model 6,1350,1,1350,9/30/2020,Feature1_6,
17,Chennai,Brand 5,Model 327,1400,1,1400,9/27/2020,,
37,Lucknow,Brand 5,Model 211,1150,1,14500,9/30/2020,Feature1_3,Feature2_2
208,Delhi,Brand 7,Model 212,12990,1,12990,9/30/2020,Feature1_3,Feature2_2
31,Thiruvananthapuram,Brand 5,Model 213,1499,1,1499,9/30/2020,Feature1_4,
153,Delhi,Brand 8,Model 214,73600,1,73600,9/30/2020,Feature1_3,Feature2_3
9,Chennai,Brand 6,Model 62,19499,1,18999,9/30/2020,Feature1_9,Feature2_2
10,Chennai,Brand 4,Model 557,11990,1,13500,9/30/2020,Feature1_3,Feature2_2
98,Lucknow,Brand 4,Model 558,11490,1,11490,9/30/2020,Feature1_1,Feature2_2
43,Kolkata,Brand 6,Model 59,1200,1,9700,9/27/2020,Feature1_1,Feature2_2
209,Delhi,Brand 8,Model 129,2300,1,2300,9/30/2020,Feature1_18,
44,Kolkata,Brand 4,Model 4,1800,1,9700,9/27/2020,Feature1_1,Feature2_2
40,Thiruvananthapuram,Brand 7,Model 329,1662,1,1662,9/30/2020,,
43,Thiruvananthapuram,Brand 9,Model 215,2050,1,2050,9/27/2020,,
37,Kanpur,Brand 3,Model 216,10000,1,10000,9/30/2020,Feature1_1,Feature2_1
11,Chennai,Brand 1,Model 31,14499,1,14499,9/29/2020,Feature1_3,Feature2_2
12,Chennai,Brand 2,Model 2,11990,1,11990,9/29/2020,Feature1_3,Feature2_2
49,Lucknow,Brand 4,Model 73,1300,1,1300,9/28/2020,Feature1_6,
50,Lucknow,Brand 3,Model 48,1300,1,14500,9/29/2020,Feature1_3,Feature2_2
15,Kolkata,Brand 4,Model 34,5000,1,5999,9/28/2020,Feature1_8,Feature2_1
17,Kolkata,Brand 4,Model 74,1450,1,2089,9/29/2020,Feature1_4,
13,Chennai,Brand 3,Model 22,11990,1,11990,9/28/2020,Feature1_3,Feature2_2
14,Chennai,Brand 9,Model 217,14499,1,14499,9/27/2020,Feature1_3,Feature2_2
17,Chennai,Brand 7,Model 143,18299,1,18299,9/30/2020,Feature1_3,Feature2_2
341,Kolkata,Brand 2,Model 18,14000,1,14000,9/29/2020,Feature1_3,Feature2_2
341,Kolkata,Brand 9,Model 559,8800,1,8800,9/29/2020,Feature1_1,Feature2_2
29,Delhi,Brand 7,Model 330,9990,1,9990,9/30/2020,Feature1_1,Feature2_1
51,Delhi,Brand 4,Model 34,1600,1,1526,9/30/2020,,
52,Delhi,Brand 9,Model 331,1450,1,1361,9/28/2020,Feature1_4,
53,Delhi,Brand 3,Model 218,1550,1,1550,9/27/2020,,
21,Kanpur,Brand 4,Model 4,1300,1,1300,9/28/2020,Feature1_4,
22,Kanpur,Brand 1,Model 31,1250,1,1250,9/29/2020,Feature1_16,
43,Delhi,Brand 2,Model 333,1500,1,1500,9/30/2020,Feature1_16,
44,Delhi,Brand 1,Model 89,1600,1,1526,9/29/2020,,
45,Delhi,Brand 6,Model 17,1600,1,1526,9/27/2020,,
46,Delhi,Brand 5,Model 219,1600,1,1560,9/28/2020,,
51,Delhi,Brand 2,Model 16,1600,1,1526,9/30/2020,,
7,Delhi,Brand 1,Model 23,12000,1,12000,9/30/2020,Feature1_1,Feature2_2
9,Ludhiana,Brand 10,Model 334,1500,1,1299,9/30/2020,Feature1_20,
10,Ludhiana,Brand 1,Model 335,1600,1,1600,9/30/2020,Feature1_4,
33,Lucknow,Brand 3,Model 336,1400,1,1400,9/27/2020,Feature1_16,
19,Lucknow,Brand 2,Model 1,1700,1,1700,9/30/2020,,
34,Lucknow,Brand 9,Model 560,850,1,14500,9/28/2020,Feature1_3,Feature2_2
35,Lucknow,Brand 10,Model 337,1100,1,1100,9/30/2020,Feature1_4,
421,Kolkata,Brand 5,Model 338,16990,1,16990,9/30/2020,Feature1_5,Feature2_3
117,Delhi,Brand 1,Model 75,900,1,900,9/29/2020,Feature1_4,
118,Delhi,Brand 4,Model 182,900,1,900,9/28/2020,Feature1_4,
119,Delhi,Brand 2,Model 76,10500,1,10500,9/27/2020,Feature1_3,Feature2_2
24,Kolkata,Brand 6,Model 14,850,1,9700,9/30/2020,Feature1_1,Feature2_2
422,Kolkata,Brand 8,Model 135,16990,1,15990,9/30/2020,Feature1_3,Feature2_2
154,Delhi,Brand 7,Model 340,8990,1,8990,9/30/2020,Feature1_8,Feature2_1
7,Thiruvananthapuram,Brand 2,Model 11,3599,1,3599,9/28/2020,Feature1_18,
6,Delhi,Brand 3,Model 343,15500,1,15500,9/30/2020,Feature1_9,Feature2_2
28,Delhi,Brand 3,Model 77,1550,1,1550,9/30/2020,,
29,Delhi,Brand 1,Model 65,900,1,799,9/29/2020,Feature1_11,
16,Kolkata,Brand 6,Model 19,1450,1,1410,9/29/2020,Feature1_6,
32,Delhi,Brand 2,Model 11,1600,1,1560,9/30/2020,,
11,Delhi,Brand 1,Model 5,950,1,949.99,9/30/2020,Feature1_11,
51,Delhi,Brand 2,Model 2,1100,1,1099,9/30/2020,Feature1_22,
54,Delhi,Brand 7,Model 346,1450,1,1450,9/27/2020,,
2106,Kolkata,Brand 10,Model 299,2300,1,9700,9/30/2020,Feature1_1,Feature2_2
2107,Kolkata,Brand 1,Model 347,30999,1,30999,9/30/2020,Feature1_5,Feature2_3
6700540,Kolkata,Brand 2,Model 8,12990,1,12990,9/30/2020,Feature1_3,Feature2_2
2416,Delhi,Brand 8,Model 348,1300,1,1300,9/30/2020,Feature1_6,
2419,Delhi,Brand 3,Model 9,1300,1,1300,9/30/2020,Feature1_16,
29,Delhi,Brand 7,Model 350,1600,1,1526,9/30/2020,,
30,Delhi,Brand 2,Model 221,1450,1,1450,9/28/2020,,
2420,Delhi,Brand 1,Model 24,1300,1,1300,9/30/2020,Feature1_16,
17,Chennai,Brand 6,Model 17,10990,1,10990,9/30/2020,Feature1_1,Feature2_1
18,Chennai,Brand 4,Model 4,19499,1,18999,9/29/2020,Feature1_9,Feature2_2
19,Chennai,Brand 7,Model 143,11990,1,11990,9/28/2020,Feature1_3,Feature2_2
5,Lucknow,Brand 1,Model 53,12500,1,12500,9/30/2020,Feature1_3,Feature2_2
20,Chennai,Brand 1,Model 60,18990,1,18990,9/27/2020,Feature1_5,Feature2_3
6,Lucknow,Brand 2,Model 563,17500,1,17500,9/30/2020,Feature1_3,Feature2_3
8,Lucknow,Brand 5,Model 140,12500,1,12500,9/29/2020,Feature1_3,Feature2_2
9,Lucknow,Brand 3,Model 351,12500,1,12500,9/28/2020,Feature1_3,Feature2_2
13,Chennai,Brand 4,Model 564,18990,1,18990,9/30/2020,Feature1_5,Feature2_3
